U (V)	F (N)	pos(deg)	elongation (mm)	t (s)
3.27	13.0	0.0	0.0	0.0
3.27	11.0	0.0	0.0	0.6371736526489258
3.26	14.0	0.0	0.0	1.2145540714263916
3.25	19.0	0.439453125	0.17257283863713463	1.787795066833496
3.22	10.0	2.021484375	0.7938350577308193	2.3808557987213135
3.18	12.0	3.427734375	1.34606814136965	2.9538400173187256
3.15	4.0	4.482421875	1.7602429540987734	3.530702829360962
3.12	12.0	5.009765625	1.9673303604633348	4.103978872299194
3.09	18.0	5.9765625	2.346990605465031	4.679184675216675
3.07	9.0	6.6796875	2.6231071472844465	5.255744934082031
3.04	5.0	7.91015625	3.1063110954684237	5.831958055496216
3.03	17.0	8.876953125	3.48597134047012	6.403588533401489
3.03	15.0	9.4921875	3.727573314562108	6.978529930114746
3.01	8.0	10.37109375	4.0727189918363775	7.5554399490356445
3.0	1.0	11.07421875	4.348835533655793	8.132407903671265
2.99	8.0	12.041015625	4.728495778657489	8.70653748512268
2.97	10.0	12.65625	4.970097752749477	9.296948194503784
2.96	6.0	12.744140625	5.004612320476904	9.854983568191528
2.96	11.0	12.83203125	5.039126888204332	10.444305896759033
2.96	19.0	13.623046875	5.3497579977511736	11.019049406051636
2.95	5.0	14.150390625	5.556845404115735	11.595959186553955
2.95	11.0	15.732421875	6.17810762320942	12.168900728225708
2.94	15.0	15.732421875	6.17810762320942	12.74417495727539
2.94	8.0	16.611328125	6.52325330048369	13.321189165115356
2.93	3.0	17.138671875	6.730340706848251	13.912556886672974
2.93	13.0	17.9296875	7.040971816395094	14.47296929359436
2.93	13.0	18.017578125	7.07548638412252	15.046693086624146
2.92	7.0	18.720703125	7.351602925941936	15.624916315078735
2.92	8.0	19.86328125	7.800292306398486	16.213029623031616
2.92	3.0	20.0390625	7.869321441853339	16.775012731552124
2.91	4.0	20.126953125	7.9038360095807665	17.347074270248413
2.91	12.0	20.21484375	7.938350577308193	17.922383546829224
2.9	0.0	20.21484375	7.938350577308193	18.49976682662964
2.9	19.0	20.126953125	7.9038360095807665	19.088930130004883
2.9	16.0	20.126953125	7.9038360095807665	19.645134925842285
2.89	2.0	20.126953125	7.9038360095807665	20.22341513633728
2.89	18.0	20.126953125	7.9038360095807665	20.794716119766235
2.88	1.0	20.126953125	7.9038360095807665	21.38948082923889
2.88	16.0	22.5	8.835729338221293	21.976508855819702
